,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc1,TrainLeafAcc1,TrainLeafAccSoft1,TestAcc1,TestLeafAcc1,TestLeafAccSoft1,ReducedTrainAcc1,ReducedTrainLeafAcc1,ReducedTrainLeafAccSoft1,ReducedTestAcc1,ReducedTestLeafAcc1,ReducedTestLeafAccSoft1,ExtendedTrainAcc1,ExtendedTestAcc1,SoftConstraint1,EmptyLeaves1,MisassignedPoints1,ObjGap1,ObjBound1,Status1,RemovedLeaves1,TrainAcc2,TrainLeafAcc2,TrainLeafAccSoft2,TestAcc2,TestLeafAcc2,TestLeafAccSoft2,ReducedTrainAcc2,ReducedTrainLeafAcc2,ReducedTrainLeafAccSoft2,ReducedTestAcc2,ReducedTestLeafAcc2,ReducedTestLeafAccSoft2,ExtendedTrainAcc2,ExtendedTestAcc2,SoftConstraint2,EmptyLeaves2,MisassignedPoints2,ObjGap2,ObjBound2,Status2,RemovedLeaves2,TrainAcc3,TrainLeafAcc3,TrainLeafAccSoft3,TestAcc3,TestLeafAcc3,TestLeafAccSoft3,ReducedTrainAcc3,ReducedTrainLeafAcc3,ReducedTrainLeafAccSoft3,ReducedTestAcc3,ReducedTestLeafAcc3,ReducedTestLeafAccSoft3,ExtendedTrainAcc3,ExtendedTestAcc3,SoftConstraint3,EmptyLeaves3,MisassignedPoints3,ObjGap3,ObjBound3,Status3,RemovedLeaves3,TrainAcc4,TrainLeafAcc4,TrainLeafAccSoft4,TestAcc4,TestLeafAcc4,TestLeafAccSoft4,ReducedTrainAcc4,ReducedTrainLeafAcc4,ReducedTrainLeafAccSoft4,ReducedTestAcc4,ReducedTestLeafAcc4,ReducedTestLeafAccSoft4,ExtendedTrainAcc4,ExtendedTestAcc4,SoftConstraint4,EmptyLeaves4,MisassignedPoints4,ObjGap4,ObjBound4,Status4,RemovedLeaves4,DataType,DatasetName,Seed,ModelType,ModelDef
0,Ghh_0_c_albert,5797307,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/categorical/albert/run0.out,41.14232635498047,231376,"cpu=8,mem=128G,node=1",0.5844,0.5563476830271455,0.5563476830271455,0.5795210711526908,0.55258550250963,0.55258550250963,0.5844,0.5563476830271455,0.5563476830271455,0.5795210711526908,0.55258550250963,0.55258550250963,0.7039,0.643979057591623,,0,0.0,0.7974371611620291,0.999999999999603,TIME,0,0.5844,0.5553854717506262,0.5553854717506262,0.5795210711526908,0.5100671140939598,0.5100671140939598,0.5844,0.5563476830271455,0.5563476830271455,0.5795210711526908,0.55258550250963,0.55258550250963,0.7039,0.643979057591623,,1,0.0,0.8005512403078815,0.9999999999998925,TIME,2,0.615,0.5944549681418977,0.5944549681418977,0.6145395245043344,0.5454545454545454,0.5454545454545454,0.615,0.5957230142566191,0.5957230142566191,0.6145395245043344,0.596377558533353,0.596377558533353,0.7275,0.6444082053042657,,4,0.0,0.6812004148846421,1.0,TIME,6,0.6274,0.6257454246349989,0.6257454246349989,0.6244099218951163,0.6022727272727273,0.6022727272727273,0.6274,0.6267719724584853,0.6267719724584853,0.6244099218951163,0.6237623762376238,0.6237623762376238,0.6706,0.6448373530169084,,13,0.0,0.5980939861978996,1.0,TIME,14,categorical,albert,0,gradual,d4_r4_8h_50lim_hint_hard_concated
1,Ghh_0_c_compas-two-years,5797308,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/categorical/compas-two-years/run0.out,20.56365966796875,230800,"cpu=8,mem=64G,node=1",0.6299093655589124,0.6232239098481137,0.6232239098481137,0.6488933601609658,0.6403326403326404,0.6403326403326404,0.6299093655589124,0.6232239098481137,0.6232239098481137,0.6488933601609658,0.6403326403326404,0.6403326403326404,0.6795065458207452,0.6921529175050302,,0,0.0,0.6045597484276735,1.0,TIME,0,0.6299093655589124,0.6232239098481137,0.6232239098481137,0.6488933601609658,0.6403326403326404,0.6403326403326404,0.6299093655589124,0.6232239098481137,0.6232239098481137,0.6488933601609658,0.6403326403326404,0.6403326403326404,0.6795065458207452,0.6921529175050302,,2,0.0,0.6037735849056624,1.0,TIME,2,0.6492950654582075,0.6369756602796478,0.6369756602796478,0.6619718309859155,0.6065573770491803,0.6065573770491803,0.6492950654582075,0.6369756602796478,0.6369756602796478,0.6619718309859155,0.6065573770491803,0.6065573770491803,0.6842900302114804,0.6981891348088531,,4,0.0,0.5682926829268358,1.0,TIME,4,0.6586102719033232,0.6369756602796478,0.6369756602796478,0.6680080482897385,0.594059405940594,0.594059405940594,0.6586102719033232,0.6369756602796478,0.6369756602796478,0.6680080482897385,0.594059405940594,0.594059405940594,0.6792547834843907,0.6921529175050302,,12,0.0,0.5541237113406292,1.0,TIME,12,categorical,compas-two-years,0,gradual,d4_r4_8h_50lim_hint_hard_concated
2,Ghh_0_c_covertype,5797309,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/categorical/covertype/run0.out,37.75137710571289,231056,"cpu=8,mem=128G,node=1",0.5269,0.5241784037558685,0.5241784037558685,0.5200033043806647,0.5176463278240337,0.5176463278240337,0.5269,0.5241784037558685,0.5241784037558685,0.5200033043806647,0.5176463278240337,0.5176463278240337,0.9424,0.8225665596676737,,0,0.0,0.9077474249885162,1.0,TIME,0,0.7434,0.7290821256038648,0.7290821256038648,0.741078172205438,0.7307179498768389,0.7307179498768389,0.7434,0.7290821256038648,0.7290821256038648,0.741078172205438,0.7307179498768389,0.7307179498768389,0.9448,0.8321020581570997,,2,0.0,0.37158759607738673,1.0,TIME,2,0.7436,0.7431850789096126,0.7431850789096126,0.7421520959214502,0.1111111111111111,0.6,0.7436,0.7431850789096126,0.7431850789096126,0.7422347054380665,0.7401024249935692,0.7401024249935692,0.9765,0.830154833836858,,6,0.0,0.3440944881889191,1.0,TIME,6,0.7436,0.7431850789096126,0.7431850789096126,0.7422347054380665,0.740078112210295,0.740078112210295,0.7436,0.7431850789096126,0.7431850789096126,0.7422347054380665,0.7401024249935692,0.7401024249935692,1.0,0.8525302114803626,,14,0.0,0.3440944490190075,1.0,TIME,14,categorical,covertype,0,gradual,d4_r4_8h_50lim_hint_hard_concated
3,Ghh_0_c_default-of-credit-card-clients,5797310,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/categorical/default-of-credit-card-clients/run0.out,63.62820053100586,230880,"cpu=8,mem=128G,node=1",0.5994,0.5609035004730369,0.5609035004730369,0.5766478342749529,0.5346051464063887,0.5346051464063887,0.5994,0.5609035004730369,0.5609035004730369,0.5766478342749529,0.5346051464063887,0.5346051464063887,0.7576,0.7148775894538606,,0,0.0,0.7811725253784354,0.999999999999811,TIME,0,0.5036,0.5036,0.5036,0.4821092278719397,0.4821092278719397,0.4821092278719397,0.5036,0.5036,0.5036,0.4821092278719397,0.4821092278719397,0.4821092278719397,0.7259,0.7178907721280603,,3,0.0,0.9857029388394717,0.9999999999994802,TIME,3,0.5266,0.5253270714525327,0.5253270714525327,0.5310734463276836,0.5112251443232841,0.5112251443232841,0.5266,0.5253270714525327,0.5253270714525327,0.5310734463276836,0.5112251443232841,0.5112251443232841,0.7666,0.7148775894538606,,6,0.0,0.8939748359832635,1.0,TIME,6,0.5575,0.556820577693443,0.556820577693443,0.5495291902071563,0.5296191819464033,0.5296191819464033,0.5575,0.556820577693443,0.556820577693443,0.5495291902071563,0.5296191819464033,0.5296191819464033,0.7312,0.7141242937853107,,14,0.0,0.7917518745737415,1.0,TIME,14,categorical,default-of-credit-card-clients,0,gradual,d4_r4_8h_50lim_hint_hard_concated
4,Ghh_0_c_electricity,5797311,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/categorical/electricity/run0.out,45.6419792175293,231016,"cpu=8,mem=64G,node=1",0.7315,0.6808109382366808,0.6808109382366808,0.7385315139701104,0.687603993344426,0.687603993344426,0.7315,0.6808109382366808,0.6808109382366808,0.7385315139701104,0.687603993344426,0.687603993344426,0.9536,0.8601689408706953,,0,0.0,0.46883656509697375,1.0,TIME,0,0.7315,0.6808109382366808,0.6808109382366808,0.7385315139701104,0.687603993344426,0.687603993344426,0.7315,0.6808109382366808,0.6808109382366808,0.7385315139701104,0.687603993344426,0.687603993344426,0.9536,0.8601689408706953,,2,0.0,0.4688365650966959,0.9999999999997551,TIME,2,0.7067,0.7064074588375322,0.7064074588375322,0.7060428849902534,0.7051509769094139,0.7051509769094139,0.7067,0.7064074588375322,0.7064074588375322,0.7060428849902534,0.7051509769094139,0.7051509769094139,0.9484,0.8626380766731644,,6,0.0,0.4156117830590278,1.0,TIME,6,0.7067,0.7064074588375322,0.7064074588375322,0.705912930474334,0.0,0.7050761421319797,0.7067,0.7064074588375322,0.7064074588375322,0.7060428849902534,0.7051509769094139,0.7051509769094139,0.9832,0.8864197530864197,,14,0.0,0.415601155833669,1.0,TIME,14,categorical,electricity,0,gradual,d4_r4_8h_50lim_hint_hard_concated
5,Ghh_0_c_eye_movements,5797312,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/categorical/eye_movements/run0.out,37.545562744140625,230776,"cpu=8,mem=64G,node=1",0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.9467630627670063,0.6412614980289093,,0,0.0,0.8394283312316405,0.9999999999999958,TIME,0,0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.9467630627670063,0.6412614980289093,,2,0.0,0.8339309301881341,1.0,TIME,2,0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.9467630627670063,0.6412614980289093,,6,0.0,0.8371697770512844,1.0,TIME,6,0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.5603023332237923,0.5436471663619744,0.5436471663619744,0.5367936925098554,0.5186533212010919,0.5186533212010919,0.9996713769306605,0.6859395532194481,,14,0.0,0.8349305568129404,1.0,TIME,14,categorical,eye_movements,0,gradual,d4_r4_8h_50lim_hint_hard_concated
6,Ghh_0_c_road-safety,5797313,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/categorical/road-safety/run0.out,37.442100524902344,230952,"cpu=8,mem=128G,node=1",0.5207,0.5202360876897133,0.5202360876897133,0.5159933789647922,0.5154168607359105,0.5154168607359105,0.5207,0.5202360876897133,0.5202360876897133,0.5159933789647922,0.5154168607359105,0.5154168607359105,0.8565,0.755245380933208,,0,0.0,0.91894852135802,0.9999999999999635,TIME,0,0.5204,0.5167963949201148,0.5167963949201148,0.5165302196573167,0.5129385762961599,0.5129385762961599,0.5204,0.5194324491054905,0.5194324491054905,0.5165302196573167,0.5156979405034325,0.5156979405034325,0.8559,0.7547532769650607,,1,0.0,0.9349980182322194,1.0,TIME,2,0.528,0.5239509105304829,0.5239509105304829,0.5208696819218896,0.5177823335413139,0.5177823335413139,0.528,0.5239509105304829,0.5239509105304829,0.5208696819218896,0.5177823335413139,0.5177823335413139,0.824,0.7538138057531427,,4,0.0,0.9025669963869828,1.0,TIME,4,0.528,0.5239509105304829,0.5239509105304829,0.5208696819218896,0.49137931034482757,0.49137931034482757,0.528,0.5239509105304829,0.5239509105304829,0.5208696819218896,0.5177823335413139,0.5177823335413139,0.93,0.7567664295620274,,10,0.0,0.9085672219851639,1.0,TIME,12,categorical,road-safety,0,gradual,d4_r4_8h_50lim_hint_hard_concated
7,Ghh_0_n_bank-marketing,5797314,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/numerical/bank-marketing/run0.out,41.66744613647461,230848,"cpu=8,mem=64G,node=1",0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.8331363743795793,0.7915879017013232,,0,0.0,0.3904548801631006,1.0,TIME,0,0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.8331363743795793,0.7915879017013232,,2,0.0,0.38601626016260165,1.0,TIME,2,0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.8331363743795793,0.7915879017013232,,6,0.0,0.38601626016260165,1.0,TIME,6,0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.7196880170172536,0.7178571428571429,0.7178571428571429,0.724007561436673,0.7158098933074685,0.7158098933074685,0.8425904041597732,0.7939508506616257,,14,0.0,0.38601626016260165,1.0,TIME,14,numerical,bank-marketing,0,gradual,d4_r4_8h_50lim_hint_hard_concated
8,Ghh_0_n_Bioresponse,5797315,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/numerical/Bioresponse/run0.out,65.467529296875,230928,"cpu=8,mem=128G,node=1",0.5744448489261011,0.574300071787509,0.574300071787509,0.5400291120815138,0.5386996904024768,0.5386996904024768,0.5744448489261011,0.574300071787509,0.574300071787509,0.5400291120815138,0.5386996904024768,0.5386996904024768,0.9151801965780851,0.7612809315866085,,0,0.0,0.7403598971722358,1.0,TIME,0,0.6115762650163815,0.5965630114566285,0.5965630114566285,0.5720524017467249,0.5525423728813559,0.5525423728813559,0.6115762650163815,0.5965630114566285,0.5965630114566285,0.5720524017467249,0.5525423728813559,0.5525423728813559,0.9115398616672734,0.759825327510917,,0,0.0,0.6748971193415638,1.0,TIME,0,0.6108481980342192,0.5971760797342193,0.5971760797342193,0.5735080058224163,0.5536912751677853,0.5536912751677853,0.6108481980342192,0.5971760797342193,0.5971760797342193,0.5735080058224163,0.5536912751677853,0.5536912751677853,0.9402985074626866,0.759825327510917,,4,0.0,0.6745200397278891,1.0,TIME,4,0.6461594466690935,0.6248839368616528,0.6248839368616528,0.6302765647743813,0.46153846153846156,0.5865724381625441,0.6461594466690935,0.6248839368616528,0.6248839368616528,0.6302765647743813,0.5865724381625441,0.5865724381625441,0.9515835456862032,0.7569141193595342,,9,0.0,0.6002955110493107,1.0,TIME,10,numerical,Bioresponse,0,gradual,d4_r4_8h_50lim_hint_hard_concated
9,Ghh_0_n_california,5797316,benchmark/gradual/d4_r4_8h_50lim_hint_hard_concated/numerical/california/run0.out,53.656558990478516,230960,"cpu=8,mem=64G,node=1",0.5666,0.5420494699646643,0.5420494699646643,0.5500363460140538,0.5263904653802497,0.5263904653802497,0.5666,0.5420494699646643,0.5420494699646643,0.5500363460140538,0.5263904653802497,0.5263904653802497,0.9378,0.9045311364187061,,0,0.0,0.8448500651881142,0.9999999999995326,TIME,0,0.5666,0.5420494699646643,0.5420494699646643,0.5500363460140538,0.5263904653802497,0.5263904653802497,0.5666,0.5420494699646643,0.5420494699646643,0.5500363460140538,0.5263904653802497,0.5263904653802497,0.9378,0.9045311364187061,,2,0.0,0.8448500651889765,1.0,TIME,2,0.5666,0.5420494699646643,0.5420494699646643,0.5500363460140538,0.5263904653802497,0.5263904653802497,0.5666,0.5420494699646643,0.5420494699646643,0.5500363460140538,0.5263904653802497,0.5263904653802497,0.9378,0.9045311364187061,,6,0.0,0.839634941329743,1.0,TIME,6,0.6563,0.6155501362788696,0.6155501362788696,0.6418706081899686,0.5972461273666093,0.5972461273666093,0.6563,0.6155501362788696,0.6155501362788696,0.6418706081899686,0.5972461273666093,0.5972461273666093,0.9775,0.9008965350133269,,13,0.0,0.6245630389182416,1.0,TIME,13,numerical,california,0,gradual,d4_r4_8h_50lim_hint_hard_concated
