,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,StartTrainAcc,StartTrainLeafAcc,StartTrainLeafAccSoft,StartTestAcc,StartTestLeafAcc,StartTestLeafAccSoft,StartReducedTrainAcc,StartReducedTrainLeafAcc,StartReducedTrainLeafAccSoft,StartReducedTestAcc,StartReducedTestLeafAcc,StartReducedTestLeafAccSoft,DataType,DatasetName,Seed,ModelType,ModelDef
0,Wh0_0_c_albert,5894783,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/categorical/albert/run0.out,65.65893936157227,230728,"cpu=8,mem=128G,node=1",0.6214,0.589203233256351,0.589203233256351,0.6124796154836495,0.5496688741721855,0.5496688741721855,0.6214,0.589203233256351,0.589203233256351,0.6124796154836495,0.5825506673257538,0.5825506673257538,0.7009,0.6458673075272509,,10,0.0,0.6939890710382514,1.0,TIME,14,0.6521,0.5497630331753555,0.5497630331753555,0.6371985237318685,0.5289855072463768,0.5289855072463768,0.6521,0.5497630331753555,0.5497630331753555,0.6371985237318685,0.5289855072463768,0.5289855072463768,categorical,albert,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
1,Wh0_0_c_compas-two-years,5894784,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/categorical/compas-two-years/run0.out,20.925540924072266,230616,"cpu=8,mem=64G,node=1",0.6540785498489426,0.6392857142857142,0.6392857142857142,0.6619718309859155,0.6343434343434343,0.6343434343434343,0.6540785498489426,0.6392857142857142,0.6392857142857142,0.6619718309859155,0.6343434343434343,0.6343434343434343,0.6830312185297079,0.6971830985915493,,11,0.0,0.5631911532385317,1.0,TIME,12,0.6764853977844915,0.52,0.52,0.6851106639839034,0.45,0.44999999999999996,0.6764853977844915,0.52,0.52,0.6851106639839034,0.45,0.44999999999999996,categorical,compas-two-years,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
2,Wh0_0_c_covertype,5894785,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/categorical/covertype/run0.out,65.63902282714844,230816,"cpu=8,mem=128G,node=1",0.7434,0.7290821256038648,0.7290821256038648,0.741078172205438,0.7307179498768389,0.7307179498768389,0.7434,0.7290821256038648,0.7290821256038648,0.741078172205438,0.7307179498768389,0.7307179498768389,0.9978,0.8573805702416919,,14,0.0,0.3715875960774141,1.0,TIME,14,0.77,0.5693848354792561,0.5693848354792561,0.7615889350453172,0.5532348446255732,0.5532348446255732,0.77,0.5693848354792561,0.5693848354792561,0.7615889350453172,0.5532348446255732,0.5532348446255732,categorical,covertype,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
3,Wh0_0_c_default-of-credit-card-clients,5894786,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/categorical/default-of-credit-card-clients/run0.out,52.293338775634766,230712,"cpu=8,mem=128G,node=1",0.7007,0.5982532751091703,0.5982532751091703,0.6998116760828625,0.5997375328083989,0.5997375328083989,0.7007,0.5982532751091703,0.5982532751091703,0.6998116760828625,0.6002490660024906,0.6002490660024906,0.7252,0.7126177024482109,,5,0.0,0.6715328467153273,1.0,TIME,9,0.7073,0.5132530120481927,0.5132530120481927,0.7073446327683616,0.5202020202020202,0.5202020202020202,0.7073,0.5132530120481927,0.5132530120481927,0.7073446327683616,0.5202020202020202,0.5202020202020202,categorical,default-of-credit-card-clients,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
4,Wh0_0_c_electricity,5894787,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/categorical/electricity/run0.out,50.91804885864258,230696,"cpu=8,mem=64G,node=1",0.7352,0.6131819303875586,0.6131819303875586,0.7434697855750487,0.6355796870009581,0.6355796870009581,0.7352,0.6131819303875586,0.6131819303875586,0.7434697855750487,0.6355796870009581,0.6355796870009581,0.9915,0.8657569850552307,,9,0.0,0.6142857142857118,1.0,TIME,11,0.7435,0.5142767492940069,0.5142767492940069,0.7324236517218974,0.4905193734542457,0.4905193734542457,0.7435,0.5142767492940069,0.5142767492940069,0.7324236517218974,0.4905193734542457,0.4905193734542457,categorical,electricity,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
5,Wh0_0_c_eye_movements,5894788,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/categorical/eye_movements/run0.out,34.335323333740234,230624,"cpu=8,mem=64G,node=1",0.5920144594150509,0.562984496124031,0.562984496124031,0.5795006570302234,0.46551724137931033,0.46551724137931033,0.5920144594150509,0.562984496124031,0.562984496124031,0.5795006570302234,0.46551724137931033,0.46551724137931033,0.9776536312849162,0.6504599211563732,,6,0.0,0.7750458835698543,1.0,TIME,8,0.5990798554058495,0.5017221584385764,0.5017221584385764,0.5801576872536137,0.4230769230769231,0.4230769230769231,0.5990798554058495,0.5490314769975787,0.5490314769975787,0.5801576872536137,0.4230769230769231,0.4230769230769231,categorical,eye_movements,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
6,Wh0_0_c_road-safety,5894789,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/categorical/road-safety/run0.out,55.475486755371094,230728,"cpu=8,mem=128G,node=1",0.715,0.6013986013986014,0.6013986013986014,0.7132375967431664,0.5936739659367397,0.5936739659367397,0.715,0.6013986013986014,0.6013986013986014,0.7132375967431664,0.6016949152542372,0.6016949152542372,0.7972,0.7493848700398157,,1,0.0,0.6627906976743957,1.0,TIME,8,0.7161,0.5338208409506399,0.5338208409506399,0.7100612893123965,0.4895498392282958,0.4895498392282958,0.7161,0.5338208409506399,0.5338208409506399,0.7100612893123965,0.4895498392282958,0.4895498392282958,categorical,road-safety,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
7,Wh0_0_n_bank-marketing,5894790,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/numerical/bank-marketing/run0.out,38.66303634643555,230808,"cpu=8,mem=64G,node=1",0.7770030725596786,0.6730769230769231,0.6730769230769231,0.7707939508506616,0.6,0.630272952853598,0.7770030725596786,0.6730769230769231,0.6730769230769231,0.7707939508506616,0.6,0.630272952853598,0.831954620657055,0.7911153119092628,,0,0.0,0.4857103957911656,1.0,TIME,7,0.7792484046324746,0.5465116279069767,0.5465116279069767,0.7731568998109641,0.4,0.4,0.7792484046324746,0.5465116279069767,0.5465116279069767,0.7731568998109641,0.4,0.4,numerical,bank-marketing,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
8,Wh0_0_n_Bioresponse,5894791,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/numerical/Bioresponse/run0.out,61.668304443359375,230776,"cpu=8,mem=128G,node=1",0.7135056425191117,0.6935138987883107,0.6935138987883107,0.7016011644832606,0.5909090909090909,0.5909090909090909,0.7135056425191117,0.6935138987883107,0.6935138987883107,0.7016011644832606,0.5909090909090909,0.5909090909090909,0.9668729523116126,0.777292576419214,,11,0.0,0.43359374999998707,1.0,TIME,12,0.7251547142337095,0.5411764705882353,0.5411764705882353,0.7147016011644832,0.5217391304347826,0.5217391304347826,0.7251547142337095,0.6460784313725491,0.6460784313725491,0.7147016011644832,0.6568265682656826,0.6568265682656826,numerical,Bioresponse,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
9,Wh0_0_n_california,5894792,benchmark/warmstart/d4_r4_8h_50lim_hint_hard_true_data_dheur/numerical/california/run0.out,52.46742630004883,230704,"cpu=8,mem=64G,node=1",0.7885,0.6666666666666666,0.6666666666666666,0.7901623455294403,0.651356993736952,0.651356993736952,0.7885,0.6666666666666666,0.6666666666666666,0.7901623455294403,0.651356993736952,0.651356993736952,0.9735,0.8866004361521687,,1,0.0,0.49999999999999384,1.0,TIME,8,0.7963,0.5778175313059034,0.5778175313059034,0.7940392536951781,0.583941605839416,0.583941605839416,0.7963,0.5966514459665144,0.5966514459665144,0.7940392536951781,0.583941605839416,0.583941605839416,numerical,california,0,warmstart,d4_r4_8h_50lim_hint_hard_true_data_dheur
