,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,DataType,DatasetName,Seed,ModelType,ModelDef
0,d3_0_c_albert,6006974,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/categorical/albert/run0.out,30.763771057128906,230584,"cpu=8,mem=64G,node=1",0.6274,0.6267719724584853,0.6267719724584853,0.6244099218951163,0.6237623762376238,0.6237623762376238,0.6274,0.6267719724584853,0.6267719724584853,0.6244099218951163,0.6237623762376238,0.6237623762376238,0.6764,0.6481847051755214,,6,0.0,0.5923246303867465,1.0,TIME,6,categorical,albert,0,extra,d3_r4_8h_50lim_hint_hard_true_data
1,d3_0_c_compas-two-years,6006975,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/categorical/compas-two-years/run0.out,11.846691131591797,230480,"cpu=8,mem=64G,node=1",0.6334340382678751,0.6248665955176094,0.6248665955176094,0.6569416498993964,0.6319290465631929,0.6319290465631929,0.6334340382678751,0.6248665955176094,0.6248665955176094,0.6569416498993964,0.6319290465631929,0.6319290465631929,0.6802618328298087,0.6941649899396378,,3,0.0,0.5964912280701805,1.0,TIME,4,categorical,compas-two-years,0,extra,d3_r4_8h_50lim_hint_hard_true_data
2,d3_0_c_covertype,6006976,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/categorical/covertype/run0.out,29.08440399169922,230632,"cpu=8,mem=64G,node=1",0.7436,0.7431850789096126,0.7431850789096126,0.7422347054380665,0.7400902691705058,0.7400902691705058,0.7436,0.7431850789096126,0.7431850789096126,0.7422347054380665,0.7401024249935692,0.7401024249935692,1.0,0.8559408043806647,,6,0.0,0.34409444912652776,1.0,TIME,6,categorical,covertype,0,extra,d3_r4_8h_50lim_hint_hard_true_data
3,d3_0_c_default-of-credit-card-clients,6006977,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/categorical/default-of-credit-card-clients/run0.out,28.452709197998047,230568,"cpu=8,mem=64G,node=1",0.6991,0.651217464315701,0.651217464315701,0.6990583804143126,0.641644908616188,0.641644908616188,0.6991,0.651217464315701,0.651217464315701,0.6990583804143126,0.641644908616188,0.641644908616188,0.7387,0.7182674199623352,,3,0.0,0.5355746857609278,1.0,TIME,4,categorical,default-of-credit-card-clients,0,extra,d3_r4_8h_50lim_hint_hard_true_data
4,d3_0_c_electricity,6006978,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/categorical/electricity/run0.out,27.33916473388672,230536,"cpu=8,mem=64G,node=1",0.7046,0.701407899882675,0.701407899882675,0.7018843404808317,0.6972865322379885,0.6972865322379885,0.7046,0.701407899882675,0.701407899882675,0.7018843404808317,0.6972865322379885,0.6972865322379885,0.9816,0.8822612085769981,,6,0.0,0.4125469788956068,1.0,TIME,6,categorical,electricity,0,extra,d3_r4_8h_50lim_hint_hard_true_data
5,d3_0_c_eye_movements,6006979,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/categorical/eye_movements/run0.out,17.601516723632812,230488,"cpu=8,mem=64G,node=1",0.5441998028261584,0.5399622404027691,0.5399622404027691,0.5545335085413929,0.547486033519553,0.547486033519553,0.5441998028261584,0.5399622404027691,0.5399622404027691,0.5545335085413929,0.547486033519553,0.547486033519553,0.9033848176141965,0.6182654402102497,,6,0.0,0.8220551150138429,1.0,TIME,6,categorical,eye_movements,0,extra,d3_r4_8h_50lim_hint_hard_true_data
6,d3_0_c_road-safety,6006980,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/categorical/road-safety/run0.out,30.305583953857422,230568,"cpu=8,mem=64G,node=1",0.6838,0.6800316018171045,0.6800316018171045,0.6834876750324341,0.6784306856992731,0.6784306856992731,0.6838,0.6800316018171045,0.6800316018171045,0.6834876750324341,0.6784306856992731,0.6784306856992731,0.8175,0.7647295665011408,,6,0.0,0.4541973490427098,1.0,TIME,6,categorical,road-safety,0,extra,d3_r4_8h_50lim_hint_hard_true_data
7,d3_0_n_bank-marketing,6006981,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/numerical/bank-marketing/run0.out,19.821666717529297,230520,"cpu=8,mem=64G,node=1",0.7616402741668636,0.7076612903225806,0.7076612903225806,0.754725897920605,0.6613545816733067,0.6613545816733067,0.7616402741668636,0.7076612903225806,0.7076612903225806,0.754725897920605,0.6613545816733067,0.6613545816733067,0.8178917513590168,0.7963137996219282,,1,0.0,0.4111110980631447,1.0,TIME,4,numerical,bank-marketing,0,extra,d3_r4_8h_50lim_hint_hard_true_data
8,d3_0_n_Bioresponse,6006982,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/numerical/Bioresponse/run0.out,25.30268096923828,230536,"cpu=8,mem=64G,node=1",0.7142337095012741,0.6928520877565464,0.6928520877565464,0.7001455604075691,0.6470588235294118,0.6867816091954023,0.7142337095012741,0.6928520877565464,0.6928520877565464,0.7001455604075691,0.6470588235294118,0.6867816091954023,0.9493993447397161,0.777292576419214,,4,0.0,0.441531039074247,1.0,TIME,4,numerical,Bioresponse,0,extra,d3_r4_8h_50lim_hint_hard_true_data
9,d3_0_n_california,6006983,benchmark/extra/d3_r4_8h_50lim_hint_hard_true_data/numerical/california/run0.out,26.226863861083984,230544,"cpu=8,mem=64G,node=1",0.7453,0.7104253835425384,0.7104253835425384,0.7460625151441725,0.7040643522438611,0.7040643522438611,0.7453,0.7104253835425384,0.7104253835425384,0.7460625151441725,0.7040643522438611,0.7040643522438611,0.9986,0.8921734916404168,,3,0.0,0.40196319013803256,1.0,TIME,4,numerical,california,0,extra,d3_r4_8h_50lim_hint_hard_true_data
