,JobName,JobID,Path,MemRSS,CPUTime,Resources,TrainAcc,TrainLeafAcc,TrainLeafAccSoft,TestAcc,TestLeafAcc,TestLeafAccSoft,ReducedTrainAcc,ReducedTrainLeafAcc,ReducedTrainLeafAccSoft,ReducedTestAcc,ReducedTestLeafAcc,ReducedTestLeafAccSoft,ExtendedTrainAcc,ExtendedTestAcc,SoftConstraint,EmptyLeaves,MisassignedPoints,ObjGap,ObjBound,Status,RemovedLeaves,DataType,DatasetName,Seed,ModelType,ModelDef
10,halving_0_n_covertype,5811398,benchmark/halving/d4_r4_8h_50lim_hard/numerical/covertype/run0.out,14.12228012084961,231672,"cpu=8,mem=128G,node=1",0.5756,0.5557692307692308,0.5557692307692308,0.5633907219315043,0.5490771812080537,0.5490771812080537,0.5756,0.5557692307692308,0.5557692307692308,0.5633907219315043,0.5490771812080537,0.5490771812080537,0.9238,0.7883093160138015,,7,0.0,1.0,0.0,TIME,9,numerical,covertype,0,halving,d4_r4_8h_50lim_hard
11,halving_0_n_credit,5811399,benchmark/halving/d4_r4_8h_50lim_hard/numerical/credit/run0.out,8.372222900390625,231576,"cpu=8,mem=64G,node=1",0.5435,0.5414538310412573,0.5414538310412573,0.5342506730481603,0.5288574793875147,0.5288574793875147,0.5435,0.5414538310412573,0.5414538310412573,0.5342506730481603,0.5288574793875147,0.5288574793875147,0.7732,0.7657792402034101,,14,0.0,1.0,0.0,TIME,14,numerical,credit,0,halving,d4_r4_8h_50lim_hard
12,halving_0_n_default-of-credit-card-clients,5811400,benchmark/halving/d4_r4_8h_50lim_hard/numerical/default-of-credit-card-clients/run0.out,9.650569915771484,231800,"cpu=8,mem=64G,node=1",0.6864,0.6397759951566521,0.6397759951566521,0.6858757062146893,0.6242707117852976,0.6242707117852976,0.6864,0.6416219439475254,0.6416219439475254,0.6858757062146893,0.6284562211981567,0.6284562211981567,0.7271,0.7231638418079096,,13,0.0,1.0,0.0,TIME,14,numerical,default-of-credit-card-clients,0,halving,d4_r4_8h_50lim_hard
13,halving_0_n_Diabetes130US,5811401,benchmark/halving/d4_r4_8h_50lim_hard/numerical/Diabetes130US/run0.out,9.587135314941406,231488,"cpu=8,mem=64G,node=1",0.5487,0.5410831786738654,0.5410831786738654,0.5401603601069067,0.5400788436268068,0.5400788436268068,0.5487,0.5410831786738654,0.5410831786738654,0.5401603601069067,0.5400788436268068,0.5400788436268068,0.6104,0.5997327331551554,,14,0.0,1.0,0.0,TIME,14,numerical,Diabetes130US,0,halving,d4_r4_8h_50lim_hard
14,halving_0_n_electricity,5811402,benchmark/halving/d4_r4_8h_50lim_hard/numerical/electricity/run0.out,15.98575210571289,231576,"cpu=8,mem=64G,node=1",0.6196,0.5817469204927211,0.5817469204927211,0.6289798570500325,0.5940718940508724,0.5940718940508724,0.6196,0.5847972418322115,0.5847972418322115,0.6289798570500325,0.5940718940508724,0.5940718940508724,0.984,0.8610786224821313,,12,0.0,1.0,0.0,TIME,13,numerical,electricity,0,halving,d4_r4_8h_50lim_hard
15,halving_0_n_eye_movements,5811403,benchmark/halving/d4_r4_8h_50lim_hard/numerical/eye_movements/run0.out,9.751873016357422,231336,"cpu=8,mem=64G,node=1",0.5441998028261584,0.5399622404027691,0.5399622404027691,0.5545335085413929,0.547486033519553,0.547486033519553,0.5441998028261584,0.5399622404027691,0.5399622404027691,0.5545335085413929,0.547486033519553,0.547486033519553,0.9613867893526126,0.6254927726675427,,14,0.0,1.0,0.0,TIME,14,numerical,eye_movements,0,halving,d4_r4_8h_50lim_hard
16,halving_0_n_Higgs,5811404,benchmark/halving/d4_r4_8h_50lim_hard/numerical/Higgs/run0.out,12.22747802734375,232040,"cpu=8,mem=128G,node=1",0.5523,0.5328758577666874,0.5328758577666874,0.5540546289993192,0.5346345222515263,0.5346345222515263,0.5523,0.5328758577666874,0.5328758577666874,0.5540546289993192,0.5346345222515263,0.5346345222515263,0.862,0.7095973025867938,,14,0.0,1.0,0.0,TIME,14,numerical,Higgs,0,halving,d4_r4_8h_50lim_hard
17,halving_0_n_heloc,5811405,benchmark/halving/d4_r4_8h_50lim_hard/numerical/heloc/run0.out,19.4034423828125,231640,"cpu=8,mem=64G,node=1",0.605875,0.5449101796407185,0.5449101796407185,0.611,0.4661016949152542,0.4661016949152542,0.605875,0.5449101796407185,0.5449101796407185,0.611,0.4661016949152542,0.4661016949152542,0.749,0.7225,,8,0.0,1.0,0.0,TIME,11,numerical,heloc,0,halving,d4_r4_8h_50lim_hard
18,halving_0_n_house_16H,5811406,benchmark/halving/d4_r4_8h_50lim_hard/numerical/house_16H/run0.out,9.58255386352539,231688,"cpu=8,mem=64G,node=1",0.7191,0.6490683229813664,0.6490683229813664,0.7090437361008154,0.6653992395437263,0.6653992395437263,0.7191,0.6490683229813664,0.6490683229813664,0.7090437361008154,0.6653992395437263,0.6653992395437263,0.9532,0.8713862120088954,,11,0.0,1.0,0.0,TIME,13,numerical,house_16H,0,halving,d4_r4_8h_50lim_hard
19,halving_0_n_jannis,5811407,benchmark/halving/d4_r4_8h_50lim_hard/numerical/jannis/run0.out,17.695812225341797,232536,"cpu=8,mem=128G,node=1",0.5702,0.5469668722214255,0.5469668722214255,0.5695554011809656,0.4666666666666667,0.4666666666666667,0.5702,0.5469668722214255,0.5469668722214255,0.5695554011809656,0.4666666666666667,0.4666666666666667,0.9286,0.780826675929142,,13,0.0,1.0,0.0,TIME,13,numerical,jannis,0,halving,d4_r4_8h_50lim_hard
